id,brand,title,description,price,cluster_id,pricecurrency,page_url
0,,Jabra Evolve 75 UC Stereo Headset | 7599-838-199,"Jabra Evolve 75 UC Stereo Headset: MSRP $346.00. Call for pricing. Compatible with PC's, Bluetooth tablets and mobile phones Active Noice Cancellation (ANC) helps you hear better Professional wireless headset with dual connectivity Being mobile willimprove your efficiency on every call Amazing music listening experience with HiFi stereo sound Up to 100 feet of Bluetooth wireless range Get up to 18 hours of talk time on a single charge Integrated busy light reduces co-worker interruptions Includes charging stand for ease of charging*Get $20-40/unit for Trade-Ins Through December 30, 2020*",346.00,0,,
1,Sony,Sony WH-1000XM3 Wireless Noise Cancelling Headphones,,599.95,1,,
2,,CORSAIR CARBIDE SPEC-01 Mid-Tower Gaming Case with Red LED Fan | CC-9011050-WW,"ATX Mid Tower1 x USB 2.0 / 1 x USB 3.0 / 1 x Headphone Port / 1 x Microphone Port Front Ports2 External 5.25\"" Drive Bays4 x Combo 3.5\"" / 2.5\"" Internal 3.5\"" Drive Bays",220.00,2,,
3,,Hikvision DVR 16 CH fino a 8Mpx Turbo 3.0 DS-7216HUHI-K2,Hikvision DVR 16 CH fino a 8Mpx Turbo 3.0 DS-7216HUHI-K2,3.726E2,3,,
4,D'Addario,D'addario NYXL0942 Nickel Guitar Strings Super Light 9-42,,£12.99,4,,
5,Ubiquiti,Ubiquiti UniFi AC In-Wall 5-pack (UAP-AC-IW-5),"UniFi AC In-Wall 5 pack, UBIQUITI",404.0600,5,,
6,RAM Mounts,"RAP-B-400U - RAM Small Tough-Claw™ with 1\"" Diameter Rubber Ball",,,6,,
7,Epson,Epson S051160 Mavi Toner - 6000 Sayfa,,1647.09,7,,
8,,GoPro Dual Battery Charger + Akumulator do Max,,299,8,,
9,,Fujifilm Instax Mini Mono Black & White (10 sheets) Film,"Fujifilm instax mini film is for all instax mini cameras and comes in a handy cartridge. It offers stunning instant pictures that you can fit into a purse, wallet or mini photo frame. instax film ensures sharp, clear reproduction, vivid color and natural skin tones.",1.295E1,9,,
10,,"iiyama G-MASTER G2730HSU-B1 LED display 68.6 cm (27\"") 1920 x 1080 pixels Full HD Black","iiyama G-MASTER G2730HSU-B1. Display diagonal: 68.6 cm (27\""), Display resolution: 1920 x 1080 pixels, HD type: Full HD, Display technology: LED. Display: LED. Display surface: Matt, Response time: 1 ms, Native aspect ratio: 16:9, Viewing angle, horizontal: 170°, Viewing angle, vertical: 160°. Built-in speaker(s). Built-in USB hub, USB hub version: 2.0. VESA mounting. Product colour: Black",9999999,10,,
11,,CISCO - CATALYST 3850 48 PORT FULL POE LAN BASE EN,CISCO CATALYST 3850 48 PORT FULL POE LAN BASE EN (WS-C3850-48F-L) - Produkt: Administrerad - Portar: 48 - Hastighet: 1Gbps,128969.00,11,,
12,,Intel Core i9 9th Gen 9900 3.10 GHZ,Intel Core i9 9th Gen 9900 3.10 GHZ; Turbo @ 5.0GHZ; 8 Core; 16 Thread; 16MB Smartcache; 65W TDP; LGA 1151 BX80684I99900S RG18,8208.00,12,,
13,,Corsair Hydro H55 CPU Liquid Cooler Intel 1151/2066 AMD AM3/AM2,Corsair Hydro H55 CPU Liquid Cooler Intel 1151/2066 AMD AM3/AM2,79.9,13,,
14,Kingston,KINGSTON 8GB 1600MHz DDR3 CL10 DIMM (Kit of 2) HyperX Fury Black Series,,46.68,14,,
15,RAM Mounts,"RAM-B-201U-C - RAM Long Double Socket Arm for 1\"" Ball Bases - Overall Length: 6\""",,,15,,
16,,SanDisk 128GB Extreme PRO CompactFlash Memory Card,Professional-Grade Performance,126.00,16,,
